variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_Intercept,-0.677694803839153,-0.677876759377951,0.09493976746858371,0.09394220363997828,-0.8355167758842373,-0.522652624379767,0.9999810673248105,5619.92608450095,7281.547806406545
b_sand_ratio25,0.18425610073771234,0.18328781646953185,0.10345128068097667,0.104147913564954,0.014176446691049083,0.3541964467897836,0.9999573352263358,4956.136378737828,7019.9866394033925
b_sand_ratio50,0.16133670613856468,0.16192881366437956,0.10377214591506355,0.10418087471723289,-0.0090647724536639,0.3343618576939092,1.000391413038051,4748.710828957859,7063.055567070962
b_target_typedry_grassland,0.021935635342043132,0.023341492586570485,0.10221686479205637,0.10051298952940087,-0.1445748625713603,0.189709579426915,0.9999136813712122,3963.893700121893,6677.867554645691
b_expositionsouth,-0.3900947905804686,-0.39840589003910437,0.955758019272986,0.9567445884473138,-1.9596181146136809,1.1555946739395588,1.0003250716633538,8893.209289664746,8547.373678703465
b_survey_year_fct2019,0.7639035827331463,0.7527309354513689,1.2514440597836558,1.2597455830145454,-1.290981980616864,2.8173492667992543,0.9998415869974144,9684.74998756793,9376.259797253804
b_survey_year_fct2020,1.0403391365393726,1.041431909878673,1.0522496129635877,1.0565990795321631,-0.701137070413782,2.7623184545748076,0.9999871887655094,9202.565472494129,9452.863253695548
b_survey_year_fct2021,1.025973009043274,1.0300197419530153,1.281915590757788,1.2902135473176208,-1.0859062665548311,3.1487807263695413,1.0000689315712683,9147.72877860775,9344.405398199924
b_substrate_depth15,-0.08312664232704185,-0.08285804890559338,0.0507355480276299,0.05041845405262071,-0.16741430904653334,1.0642858894554604e-4,1.0000155564604085,9530.810082177253,8644.567777421928
b_seed_density8,0.10964853837530122,0.11030272063176338,0.050917773542678804,0.050984164956100766,0.024373772554783967,0.1915656027878008,0.9999178661607615,9792.458064757968,9571.325033423711
b_botanist_year2018JakobHubersouth,-0.2754882815226926,-0.27587207720053253,0.9550599542502323,0.958015175556716,-1.8408739563659033,1.2984762045303178,1.000233327697714,8890.528522176568,8511.954813669327
b_botanist_year2018SimonReithnorth,-0.17251537878003198,-0.17294031705074991,0.05948491008279117,0.05812759900726116,-0.26945904037095164,-0.07323800147005367,1.0000559953849548,7304.648394175923,7840.436211446686
b_botanist_year2018SimonReithsouth,-0.34715580669806556,-0.3472686801396696,0.9546602611843182,0.964987406660014,-1.909045763539433,1.2138578747194888,1.000275937065895,8893.71471908078,8651.882054306154
b_botanist_year2019JakobHubernorth,0.5200087100249193,0.5297619507984411,1.2524070602135882,1.2665648330950017,-1.560050494334365,2.570616545346218,0.9998369537651425,9700.18550324658,9449.783889263152
