"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","b_Intercept",21.5492900461257,21.5516528378416,0.606071202245057,0.590021874766133,20.528409944044,22.4680653777507,0.999264853458193,1249.87886351989,1242.90235232908
"2","b_targetTypedry_grassland",0.0128664047139864,0.0125449926588646,0.152203744394379,0.14777794711664,-0.248110993981395,0.271360589729251,1.000744783667,1299.94445761401,1035.53725280818
"3","b_expositionnorth",1.6550519878807,1.64217754276664,0.533521730334321,0.493778585896973,0.810619664972808,2.51235521901179,1.00122008300244,1333.71029747753,1349.66627414422
"4","b_sandRatio25",0.415885299568261,0.420148164674964,0.354276863979661,0.358229975794332,-0.152522859866293,0.997864262791294,1.00034686370771,1435.02106566288,1480.28250548007
"5","b_sandRatio50",0.40067275151242,0.396457294464409,0.355797200520827,0.351684907030185,-0.177828153823378,0.997323463887902,1.00287951726581,1461.83105487778,1317.06551659117
"6","b_surveyYear_fac2019",-0.524813347807636,-0.53401462408139,0.526699287253201,0.501529688521236,-1.36983209073125,0.344213237851679,1.00090864033262,1272.87160381034,1222.33332568866
"7","b_surveyYear_fac2020",-0.348710983143213,-0.36353744371804,0.543951427729547,0.51660951655858,-1.21949697455759,0.555087364936936,0.999352252306037,1325.49170259432,1144.15086422158
"8","b_surveyYear_fac2021",0.00460091628585834,-0.00249568721825235,0.602959491874793,0.573523122360803,-0.984856531000844,1.00427883506206,1.00149042819611,1335.89254130579,1269.21162671456
"9","b_seedDensity8",0.00590081139149036,0.00573188797965718,0.149238093658594,0.151943559208176,-0.24849473375487,0.252518583240039,0.998888830938775,1218.41023528273,1318.15018853366
"10","b_substrateDepth30",-0.134326899060029,-0.13693229828417,0.15206553557381,0.152516597709937,-0.381572379555578,0.117962101232325,1.00465054049414,1232.62411977867,1282.90705856309
"11","b_expositionnorth:sandRatio25",-0.24799853353562,-0.25647703424073,0.432331696289544,0.436186314871158,-0.936508054598353,0.463736543800761,1.00005777499166,1367.53410414615,1252.73824899924
"12","b_expositionnorth:sandRatio50",-0.527584942287341,-0.5305168894924,0.418625491167063,0.446612323321828,-1.19953538073992,0.142822214961969,1.00273211525606,1465.02367300642,1458.8979144664
"13","b_expositionnorth:surveyYear_fac2019",0.147254445196136,0.144628560155,0.63464574077133,0.60258695404286,-0.868001950549471,1.13764768668518,0.999639873532862,1155.01403233659,1282.25817718526
"14","b_expositionnorth:surveyYear_fac2020",-2.68943368550253,-2.69657042035008,0.410744012433837,0.412386849841986,-3.33990900221908,-2.0284870194225,0.99996918966482,1229.4704367325,1318.67698942926
"15","b_expositionnorth:surveyYear_fac2021",-0.558691513497966,-0.565543041948563,0.405711808123247,0.389687106437657,-1.24056115085734,0.115691718015317,1.00053779264401,1306.01734066724,1237.59448602997
"16","b_sandRatio25:surveyYear_fac2019",0.280072254545402,0.288202733072099,0.426520121393301,0.423252696484874,-0.416767910942209,0.975333855078462,1.00166839815363,1311.26324959906,1272.20851244336
"17","b_sandRatio50:surveyYear_fac2019",0.0769422639974995,0.0753349323919115,0.444467932529806,0.430147867668475,-0.661520602381784,0.804526465899522,1.00005824384785,1378.17614406449,1369.88350285062
"18","b_sandRatio25:surveyYear_fac2020",-0.846069570148866,-0.838929430970085,0.422878238275993,0.425155759087746,-1.56011424066079,-0.16362495503404,1.00081022438141,1350.18555235513,1319.09367536398
"19","b_sandRatio50:surveyYear_fac2020",1.67558987145891,1.66891454995419,0.422422940945779,0.417196806698568,0.98936240212428,2.35956726395833,1.00005548593624,1321.05631519247,1254.41678829335
"20","b_sandRatio25:surveyYear_fac2021",-0.52005081451768,-0.528434179146422,0.434168234069302,0.437775556515173,-1.22577829795721,0.209293974700961,1.00073691106535,1227.23278547843,1307.91529694373
"21","b_sandRatio50:surveyYear_fac2021",-0.472331525754158,-0.476830331054294,0.43751350486972,0.43174784262259,-1.1879310580741,0.230911010827061,0.999906448117061,1332.64206741679,1382.33599330655
"22","b_expositionnorth:sandRatio25:surveyYear_fac2019",-0.269626091791505,-0.251529402082845,0.544163531346057,0.540038170069703,-1.17306719542579,0.64375343505983,1.00174493447105,1239.96049835792,1339.75382361334
"23","b_expositionnorth:sandRatio50:surveyYear_fac2019",0.274884769011517,0.269896421549969,0.555347766645359,0.538137254699574,-0.626671855817631,1.21395930035101,1.00112074363924,1202.64906074899,1312.64894165018
"24","b_expositionnorth:sandRatio25:surveyYear_fac2020",0.0593748769203962,0.0579107826194118,0.53055024922686,0.526606448461966,-0.825416847942261,0.941180813529003,1.00249004752447,1331.37274537367,1450.42259229437
"25","b_expositionnorth:sandRatio50:surveyYear_fac2020",-1.38210673556642,-1.38555155415635,0.543056657686721,0.542219691209757,-2.25682768775839,-0.498322032904094,0.999351968345447,1464.37264247215,1349.15165091783
"26","b_expositionnorth:sandRatio25:surveyYear_fac2021",0.0116269791815468,0.00556322932803836,0.548969870144103,0.558431761568019,-0.901188136836008,0.918588322193869,0.999929402728338,1276.25794776184,1227.23160771705
"27","b_expositionnorth:sandRatio50:surveyYear_fac2021",-0.234143329681613,-0.237490378519502,0.546207247962865,0.55545677197623,-1.12155796066001,0.656009341654299,0.999976394446901,1420.47162398609,1382.04403202448
